Name of the Company you have been placed in. ,Profile Offered.,Was the placement through an off-campus drive?,"If yes, please mention the name of the drive and source via which you applied.",How many rounds were there in the Selection Process? (Mention the Rounds),Please describe in detail the questions asked in Round 1 (Online Test). ,Please describe in detail the questions asked in Interview Round 1.,Please describe in detail the questions asked in HR Round/ Interview Round 2. ,Questions asked in additional rounds (if any).,How did you prepare for this drive? Any advice you would want to give to your juniors?
Intuit,Software Engineer + 6 month Co-op internship,No,,3,"q1. Given a positive integer, find the maximum integer possible by doing at-most K swap operations on its digits.
q2. Given a boolean expressionCount the number of ways we can parenthesize the expression so that the value of expression evaluates to true. 
q3. Count the number of ways we can parenthesize the expression so that the value of expression evaluates to true. 
","Firstly asked about one of my projects. I was asked to explain in detail my project and also tell about the challenges I faced during that project. I was then asked to share screen and show my gfg and leetcode profile.
Then I was asked one of the heap questions from leetcode.
The question was to return a sorted linked list after merging N linked list(all these linked list are sorted).
","The second round began with general introduction where I was asked about my hobbies and interests. Then I was asked about my project and my contribution in it. I was then asked the tech stack i used and a few questions regarding my project. Then on the glider link was shared and I was asked two questions on DSA. Namely finding the duplicate number in an array. I coded the question and I was asked the time complexity and optimization. 
The second question was the check if the parenthesis are balanced or not.
Then I was asked one operating system question about the deadlock. 
I was then asked about deadlock avoidance and write a pseudo code to show deadlock.
Then I was asked about ACID properties and one SQL query on outer join.
",,"Solved questions on leetcode, gfg. Made sure I have good projects in my resume. If I had to put emphasis on one thing. Then I would surely say good projects make a difference"
ZS Associates,BTSA,No,,3,"Round 1 had 3 parts: 
Aptitude based mcq round, 
a small case study round also mcq based,
then a video interview round in which questions were presented on the screen and we have to record our video as we answer the questions. The questions were mostly behavioural based and 1 guesstimate was also asked. 
Although you have to go though the entire round in one sitting you can take breaks between the parts if you dont start the next part immediately after completing one part.
Get familiarised with common hr/behavioural questions beforehand as the time to think is very less, only 10 seconds and then the recording starts, so it will be beneficial if you have a structured answer prepared beforehand for common hr questions. 
Also do practice a few guesstimates as you might get one during the video interview and you'll have to explain your approach.","During this round the interviewer asked my introduction, and following that were several questions related to sql and database like primary key, foreign key, difference between truncate and delete. 
I was also asked to write 2 sql queries. 2 tables were given and i had to tell the emp_id values that were present in:- 
1: either of the table, 
2: both the tables. 
I was also asked about one of my project as well during this round. 
Along with these some numerical puzzles and a riddle was also asked.","The interviewer again asked me for my introduction and after that questions regarding my past internship experience were asked. My projects were also discussed in detail. Interviewer also asked about my hobbies and the sports i followed and asked me a guesstimate regarding the same. I was also asked some numerical puzzles in this round as well. 
One situation based question was also asked, as i mentioned i was on the organizing team of a national level hackathon,  interviewer asked me if i have to now take it to an international level how would i manage it.",,"The one sure question you'll be asked in any interview is your introduction, and if you keep it relevant and interesting further questions will be from the things you mentioned while introducing yourself also. You can really make a great impression through just your introduction and set course for rest of your interview. For BTSA profile at ZS i would suggest to solve 10-15 guesstimates and practice sql queries really well. For BTSA profile dont do case studies as case study round is only for DAA and BOA profile."
Squadstack,Product Engineer Intern,No,,"Screening(Resume)+Apti+2 Coding Rounds+ 2 Interview(DS +core,System Design)+HR",Apti(logical reasoning+maths)+Coding Rounds(constructive algo+graph+bs+tree+disjoint set),CS core +2 ds algo question,design an instagram and basic HR ques in HR round,,Solve as much question as possible on leetcode for interview and for coding rounds do regularly codeforces and codechef
Deloitte,Risk and Financial Advisory Analyst,No,,2 (online round 1 and then hr round 2),"General apti- QI LR and English. Programming had 4 sections SQL, Java, technical aptitute, automata",There was only 1 interview round ,So interview round consisted of tech+hr where they asked basic personality based questions and every tech question was based on my resume. About my projects internships then my schooling why ece student in an it industry your long term goals favourite subjects.,,Just be honest in your resume as well as your interview. Be confident and polite they test you for under pressure conditions so be calm and don't panic. Prepare nicely for apti and coding rounds.
Deloitte USI,Technology analyst,No,,2 rounds: 1 online assessment and 1 interview ,"It was an AMCAT based assessment. You won't be able to skip any question or change answer to any previous question. There was no negative marking. All questions were MCQ based and each section had a time limit. There were 7 sections in total: 
1. English
2. Qualitative aptitude
3. Quantitative Aptitude
4. SQL
5. Java
6. HTML
7. Programming MCQ's
138 students for technology analyst were shortlisted for the interview round.","It was a mix of technical and HR round. It went for around 35-40 minutes. I was first asked to introduce myself and why I wanted to join Deloitte. After that, she asked me questions related to DSA. 
1. Why linked lists are preferred over arrays? 
2. What is the difference between a singly linked list and doubly linked list?
3. What are the applications of a doubly linked list?
4. How to implement queue using stacks? Write code also.
Then I was asked to explain my projects. She also asked some questions related to my projects and internship. Then she asked my strengths and weaknesses.
Some guesstimates were also asked:
1. No. of cars on road in your city on a Monday morning at 9am.
2. Total no. of curtains required for the JIIT campus. 
At the end, she gave me an opportunity to ask any question.

54 students were given the offer letter for this profile. 
",There was no round 2.,,"For Aptitude follow RS Aggarwal. 
For DSA, follow GFG. 
For subjects like DBMS and OS, you can refer YouTube or GFG.
For OOPs, refer OOPs using C++ byJoyce Farrell or Sumita Arora C++.

Make your basics clear! You will be most tested on your basics! Try to practice DSA as much as you can from Leetcode or GFG. But be consistent! Solving 2 questions per day is much better than solving 14 questions on weekends. 
Approach to solve a particular problem matters more than the final solution.
Be confident and be interested to know more about the company.

If you still have any doubts, feel free to message me on whatsapp or contact via email. All the best!
"
Wipro,SDE,No,NA,2,Aptitude,Mental ability,NA,NA,Ds
Cognizant,Full stack Java Developer,No,,2,"Questions related to DSA, OOPS, OS etc were asked.",Technical questions were asked in order to assess the problem solving ability and technical knowledge.,General questions were asked,,
Tavisca Solutions,Software Trainee,No,,4,"Normal Leetcode questions basically from graph, dp and string topic","Some dsa questions, normal core subjects questions, projects, development scripting",Normal conversation one on one. Experience in this industry. Where do you see yourself in next 10 years. Why this company,,Striver series
Deloitte,Risk and financial advisory,No,,1,General aptitude question,"Skills, projects, oops, managerial",NA,,Be confident and have good communication skills. Easier than other companies
Planful,SDET Intern,No,,2,Do not remember. ,"Kadane algorithm, rain water trapping problem, parenthesis check using stack, search elements in very large 2d array",NA,,"Make your DSA strong.Prepare Interview asked OOPS, DBMS, JAVA, OS questions"
